"","x"
"1",0.797917742604526
"2",0.797915472692658
"3",0.797915472692658
"4",0.797915472692658
"5",0.797915472692658
"6",0.797915472692658
"7",0.797926157517307
"8",0.797925912881694
"9",0.797924287386671
"10",0.797924287386671
"11",0.797924287386671
"12",0.797924287386671
"13",0.797900275704131
"14",0.797898917841884
"15",0.797840673847698
"16",0.797810100076218
"17",0.797777666200919
"18",0.797777666200919
"19",0.797777666200919
"20",0.797777666200919
"21",0.797777666200919
"22",0.797777666200919
"23",0.79777359611232
"24",0.797725945737847
"25",0.797675699496378
"26",0.797721127416749
"27",0.797717949834433
"28",0.797660567271145
"29",0.797872964126816
"30",0.797872964126816
"31",0.797872964126816
"32",0.797872964126816
"33",0.797872964126816
"34",0.797872964126816
"35",0.797934127024253
"36",0.797934127024253
"37",0.797934127024253
"38",0.797934127024253
"39",0.798078479982287
"40",0.798065267232846
"41",0.797977423989726
"42",0.797977423989726
"43",0.797977423989726
"44",0.797977423989726
"45",0.797977423989726
"46",0.797867892422379
"47",0.797867892422379
"48",0.797867892422379
"49",0.797951404192561
"50",0.797951404192561
"51",0.797938985363389
"52",0.797926410216101
"53",0.797810894071805
"54",0.797810894071805
"55",0.797673898893469
"56",0.797673898893469
"57",0.797546342349346
"58",0.797400123555551
"59",0.797268417306764
"60",0.797268417306764
"61",0.797268417306764
"62",0.797268417306764
"63",0.797268417306764
"64",0.797249101430448
"65",0.797060597535189
"66",0.796890558961989
"67",0.7968694226762
"68",0.796715123447312
"69",0.796781439202562
"70",0.796848550643849
"71",0.796686502018672
"72",0.796686502018672
"73",0.796516819549629
"74",0.796345540806301
"75",0.796171225197124
"76",0.795993590303382
"77",0.796662425784318
"78",0.796786674014312
"79",0.796786674014312
"80",0.796411759883411
"81",0.796505714576097
"82",0.796374280412133
"83",0.796504475959692
"84",0.796504475959692
"85",0.796301473723315
"86",0.796301473723315
"87",0.796668855038641
"88",0.796631392900368
"89",0.797215932014418
"90",0.797353667005566
"91",0.797313849855565
"92",0.797272792420272
"93",0.797187321293257
"94",0.797187321293257
"95",0.797518859754115
"96",0.797241406504301
"97",0.797241406504301
"98",0.797101570882629
"99",0.797101570882629
"100",0.797101570882629
"101",0.797052487638907
"102",101
