"","x"
"1",1.49582561229602
"2",1.42670936083859
"3",1.48728413542331
"4",1.34910690916158
"5",1.3402679568814
"6",1.33335431566514
"7",1.3064917142845
"8",1.39483456858617
"9",1.34344636779643
"10",1.37915349097462
"11",1.35439388355937
"12",1.33442772565624
"13",1.31807762279204
"14",1.31968389817305
"15",1.3765751028724
"16",1.3384677154135
"17",1.3920270321346
"18",1.27545563323543
"19",1.38613262913449
"20",1.40358168747162
"21",1.37703353087681
"22",1.26391299468206
"23",1.36574424982472
"24",1.4732732113909
"25",1.48171108058272
"26",1.49967280316299
"27",1.48971019603194
"28",1.45914968949012
"29",1.43703370338722
"30",1.45254951326206
"31",1.38696406683186
"32",1.4212079638009
"33",1.42133739811942
"34",1.52658589560378
"35",1.51019077467666
"36",1.48870372700392
"37",1.50466941035665
"38",1.59365218205339
"39",1.54089044247447
"40",1.4699733995255
"41",1.46461505706915
"42",1.51563774684213
"43",1.48701507113833
"44",1.47512162540366
"45",1.52410658790412
"46",1.44254500557987
"47",1.50833855218915
"48",1.41340519239907
"49",1.47660673756925
"50",1.45298020230113
"51",1.47676403680048
"52",1.4028266694586
"53",1.42212467614091
"54",1.39579248174399
"55",1.400423345305
"56",1.37445717793069
"57",1.46340691306426
"58",1.4696998447551
"59",1.46945163287595
"60",1.50610157378992
"61",1.45574917777986
"62",1.42418962366863
"63",1.52486049410932
"64",1.48523858881033
"65",1.48231738388043
"66",1.49981954023302
"67",1.45910836778915
"68",1.50248644180119
"69",1.50889568110029
"70",1.44721923161286
"71",1.34057028145575
"72",1.31673582717382
"73",1.41519562692584
"74",1.39684561473605
"75",1.38771964588912
"76",1.38667546668478
"77",1.49959872457226
"78",1.42423051305057
"79",1.43550272878085
"80",1.67056313565519
"81",1.43522587607941
"82",1.42906817304585
"83",1.55027856027848
"84",1.43820760984654
"85",1.4605813638169
"86",1.46181239618727
"87",1.4825598440599
"88",1.35256298785776
"89",1.32325763878406
"90",1.33890712728623
"91",1.42341495532858
"92",1.55388817330691
"93",1.39553223124074
"94",1.41780296797043
"95",1.42241640145312
"96",1.37263595620389
"97",1.32682462075188
"98",1.48000810345019
"99",1.32286225425371
"100",1.35759434652494
