"","x"
"1",1.33689004085898
"2",1.40235676688594
"3",1.25370733252376
"4",1.28076929313691
"5",1.38459065266547
"6",1.30962934658013
"7",1.30712189769582
"8",1.28223220970434
"9",1.40064651489246
"10",1.35228436853139
"11",1.43958456865868
"12",1.30026420650384
"13",1.30070305952204
"14",1.14181611746208
"15",1.2287177745422
"16",1.32930207943775
"17",1.39360965178667
"18",1.31252222730393
"19",1.35299185670705
"20",1.31778681090206
"21",1.26869569313964
"22",1.37580412170992
"23",1.24383970560065
"24",1.20829526772716
"25",1.28384913821709
"26",1.23524047478669
"27",1.28600922024594
"28",1.34262718958994
"29",1.21061044299497
"30",1.08995702033078
"31",1.24388252365883
"32",1.26197323948985
"33",1.37959813009794
"34",1.26644431281338
"35",1.2393312337317
"36",1.06231385026274
"37",1.18138636033129
"38",1.18950671248144
"39",1.26177774130714
"40",1.1865379807842
"41",1.13684799253148
"42",1.21742858022858
"43",1.12265135950566
"44",1.06187486014298
"45",1.10727131762484
"46",1.0490170837109
"47",1.08253274456617
"48",1.03463789519298
"49",1.11784858926932
"50",1.17384159229053
"51",1.17780824845458
"52",1.16251705293075
"53",1.14150964764138
"54",1.16544477683971
"55",1.10101186916298
"56",1.07173358984662
"57",1.05684118574061
"58",1.09026568186326
"59",1.22929454954509
"60",1.14781089649148
"61",1.05067861926214
"62",1.17361000057373
"63",1.16184805855496
"64",1.20697917368455
"65",1.07119499044567
"66",1.08647542457989
"67",1.13667457807889
"68",1.06180975013027
"69",1.08118712104113
"70",1.11539280945492
"71",1.11881201429087
"72",1.04679069456605
"73",1.04950112626475
"74",1.18587624787264
"75",1.09970931857413
"76",1.07003962737141
"77",1.14587525175946
"78",1.02823244113168
"79",1.03521140007613
"80",1.13063426352343
"81",1.11007754542049
"82",1.09926386356954
"83",1.07988955546483
"84",1.03050053541525
"85",1.1523853035488
"86",1.03825785901417
"87",1.09989710770044
"88",1.04838909489466
"89",1.04784294080781
"90",1.02521033648352
"91",0.993911286853056
"92",1.11706071237616
"93",1.18688995454287
"94",1.15712152936902
"95",1.111028466258
"96",1.10627916699907
"97",1.15366285917528
"98",1.13223379824701
"99",1.18144088162033
"100",1.19897979979993
